시도명,시군구명,시설명,상세주소,시설면적,경도,위도,관리부서
충청남도,천안시,천안상록리조트,충청남도 천안시 동남구 수신면수신로 576  ,11000.0000,127.288735,36.741252,
충청남도,천안시,병천고등학교,충청남도 천안시 동남구 병천면충절로 1872  ,8699.0000,127.312956,36.763792,
충청남도,천안시,천안초등학교,충청남도 천안시 동남구 중앙로 169  (성황동),1193.0000,127.151699,36.813403,이현진
충청남도,천안시,천안중학교,충청남도 천안시 동남구 충절로 90  (원성동),4160.0000,127.157209,36.810824,
충청남도,천안시,천안중앙고등학교,충청남도 천안시 동남구 충절로 91  (원성동),520.0000,127.159254,36.810545,
충청남도,천안시 동남구,천안제일고등학교,충청남도 천안시 동남구 버들로 71  (원성동),2531.0000,127.154362,36.808222,
충청남도,천안시,중앙소방학교,충청남도 천안시 동남구 태조산길 269  (유량동),4734.0000,127.191737,36.819118,윤승중
충청북도,진천군,문상초등학교,충청북도 진천군 문백면농다리로 1232  ,785.0000,127.472166,36.837547,이현지
충청북도,진천군,이월중학교,충청북도 진천군 이월면진광로 753  ,1000.0000,127.428462,36.926993,전태희
충청북도,진천군,이월초등학교,충청북도 진천군 이월면송림6길 26  ,1501.0000,127.431346,36.931060,신남숙
충청북도,괴산군,오성중학교,충청북도 괴산군 감물면오창로 56  ,801.0000,127.866992,36.841103,손진철
충청북도,음성군,음성문화예술회관,충청북도 음성군 음성읍예술로 102  ,1309.0000,127.680754,36.931352,
충청북도,음성군,대소금왕고등학교,충청북도 음성군 금왕읍신내로 507  ,1748.0000,,,
충청북도,음성군,삼성중학교,충청북도 음성군 삼성면덕호로 39  ,1694.0000,127.499598,37.024752,
충청북도,음성군,음성고,충청북도 음성군 음성읍중앙로 109-16  ,1461.0000,127.686495,36.933641,박태균
충청북도,음성군,금왕보건지소,충청북도 음성군 금왕읍무극로 221  ,76.0000,127.586151,36.993096,
충청북도,음성군,금왕읍사무소,충청북도 음성군 금왕읍무극로 221  ,1580.0000,127.586540,36.992326,
충청북도,음성군,동성중학교,충청북도 음성군 맹동면학예로 32  ,1863.0000,127.543151,36.911994,
충청북도,단양군,가곡초중학교 교사,충청북도 단양군 가곡면남한강로 548  ,2997.0000,,,안상면
충청북도,단양군,영춘초등학교 다목적교실(강당,충청북도 단양군 영춘면온달평강로 63-6  ,1158.0000,128.483282,37.080046,학교장 김형수
충청북도,단양군,별방초등학교 교사,충청북도 단양군 영춘면별방창원로 449  ,432.0000,128.416004,37.096402,학교장 민정기
충청북도,단양군,단성중학교(단성전당-체육관),충청북도 단양군 단성면월악로 4633  ,994.0000,128.321672,36.935375,학교장 김대수
충청북도,제천시,백운중학교(본관),충청북도 제천시 백운면평동로 67  ,1868.0000,128.017051,37.142552,학교장
충청북도,제천시,입석초등학교(본관),충청북도 제천시 송학면입석로3길 17  ,3171.0000,128.294512,37.199395,학교장
충청북도,제천시,"제일고등학교(신본관,기숙사)",충청북도 제천시 의병대로 177  (동현동),6235.0000,128.220593,37.134869,학교장
충청북도,제천시,"의림여자중학교(본관,별관,강당,급식소)",충청북도 제천시 하소로 69  (하소동),7938.0000,128.197564,37.142433,학교장
충청북도,제천시,제천여자중학교(급식소),충청북도 제천시 용두천로 312  (청전동),721.0000,128.219112,37.153293,학교장
충청북도,제천시,제천체육관,충청북도 제천시 숭의로 101  (화산동),4958.0000,128.215151,37.130770,관리소장
충청북도,보은군,보은국민체육센터,충청북도 보은군 보은읍군청길 38-1  ,2400.0000,127.729630,36.487269,김순용
충청북도,보은군,보덕중학교,충청북도 보은군 탄부면삼승탄부로 843-21  ,1037.0000,127.805636,36.436105,보덕중학교장
충청북도,보은군,삼산초등학교,충청북도 보은군 보은읍보은로 109-6  ,1020.0000,127.716282,36.484547,삼산초등학교장
충청북도,옥천군,옥천여자중학교,충청북도 옥천군 옥천읍중앙로 90  ,709.0000,127.572710,36.304088,류은숙
충청북도,옥천군,죽향초등학교,충청북도 옥천군 옥천읍향수1길 26  ,1029.0000,127.577415,36.313313,변상수
충청북도,옥천군,삼양초등학교,충청북도 옥천군 옥천읍성암1길 9  ,1663.0000,127.568925,36.297428,박주용
충청북도,옥천군,옥천중학교,충청북도 옥천군 옥천읍삼양로 81  ,1995.0000,127.568973,36.305100,유영철
충청북도,옥천군,동이초등학교,충청북도 옥천군 동이면평산길 6  ,1381.0000,127.619215,36.285968,하경섭
충청북도,옥천군,안남초등학교,충청북도 옥천군 안남면연주길 60  ,737.0000,127.672395,36.355094,김한모
충청북도,옥천군,안내초등학교,충청북도 옥천군 안내면현리길 74  ,729.0000,127.661045,36.395145,김성원
충청북도,옥천군,청산초등학교,충청북도 옥천군 청산면지전길 36-19  ,1652.0000,127.793416,36.346947,남순화
충청북도,옥천군,이원초등학교,충청북도 옥천군 이원면신흥길 25  ,3099.0000,127.622797,36.246402,이정자
충청북도,옥천군,증약초등학교,충청북도 옥천군 군북면옥천로 1006-22  ,1009.0000,127.523324,36.334011,이찬구
충청북도,영동군,영동청소년수련관,충청북도 영동군 영동읍성안길 8  ,1650.0000,127.771166,36.176634,주민복지과장
충청북도,진천군,진천중학교,충청북도 진천군 진천읍성중로 27-5  ,1578.0000,127.446700,36.867820,송준용
